"","y.cashflow1","y.cashflow2","y.cashflow3","y.cashflow4","y.cashflow5","y.cashflow6","y.cashflow7","y.cashflow8","y.cashflow9","y.cashflow10","y.cashflow11","y.cashflow12","y.cashflow13","y.cashflow14","y.cashflow15","y.cashflow16","y.cashflow17","y.cashflow18","y.cashflow19","y.cashflow20","y.cashflow21","y.cashflow22","y.cashflow23","y.cashflow24","y.cashflow25","y.NPV_ISFM","x.years","x.discount_rate","x.var_cv","x.maize_yield","x.soybean_yield","x.maize_price","x.soybean_price","x.fertilizer","x.seed","x.pesticide","x.equipements","x.land","x.planting_harvest","x.transport"
"30",27444.1509632625,29369.7127861003,26583.1922579998,26853.4808887967,32068.9827562964,27773.9329647661,27427.7893849935,27285.8222253081,29384.6328290386,26768.216206062,27536.8856588112,28520.0293485048,31541.2957697318,26649.7826637587,28911.2655686264,28157.0092682582,26356.4080537372,28712.1344575625,23221.7105615879,25418.2840549925,30716.8455717989,31402.7275609045,27016.7360933824,30845.951515298,28573.5793475542,416589.766599922,25,5,8.76605357795827,3.41895365188858,3.0458846968756,6750.05331989645,3815.8518382227,601.18289814702,1153.13650733362,178.319227818363,811.080960281751,861.767639447053,1429.47054916548,666.927703159684
"31",23510.7128846526,22607.9795034477,25724.8106610633,24957.8682409295,23107.8252571757,25600.0441668271,22606.8217250126,23123.4431011936,20839.8694131109,22420.5219848083,23958.2714642312,25377.9043878759,24510.2940163217,23608.7435062436,25056.5199441606,25237.4453253311,24607.4637364951,22958.1803504939,23119.2399583961,22591.701267033,23634.1566306574,23589.2895955042,22903.6215825478,23757.3555703108,24306.4979664881,351686.265662296,25,5,5.5878586111252,2.46496465394044,2.90042738771089,6347.13614142123,4871.8621620985,673.675904280354,437.994858728594,137.000177744501,808.469131074079,957.451487679729,1430.36930146714,1084.04140939347
"32",16099.8240807061,16096.0351226562,17963.3677024714,17092.6741169061,13774.0703011099,15679.5432371309,16913.1713223634,16319.0039560068,13919.208904326,18155.3073885116,17856.0994231685,16908.3833706899,18557.5841013852,14436.2998823861,17303.0185778427,16763.3646993719,16578.4683215046,18885.3448942057,18222.1106665637,15297.0626019949,15971.8054974518,17564.1179320329,16342.4963805431,16520.0251703277,17062.5803398017,245127.501859343,25,5,7.7838617290983,1.40959694095769,3.16614447678593,6583.62664021749,4044.22550941617,643.699747100749,593.624976633957,95.6288444460542,546.151490857567,924.482316005925,1754.61523879474,674.07451478578
"33",37896.5459638692,33872.7953349285,38391.8981550795,38205.5606891119,35522.200784419,34182.741302695,30977.0576397529,38234.5351188768,33167.3843438379,40326.6337880222,39044.5319522241,38763.3300595978,39505.892480745,35572.6423784012,39633.0952129259,38671.8795039572,39058.3314950162,35408.4621110713,37230.3832219336,32575.7685823375,38009.9541234748,35769.4031451057,41912.1029379224,37481.9972633478,37462.0158089303,545852.422172086,25,5,7.50477536934723,3.82959630709163,3.75695855131526,7059.19746567433,3891.14733934543,654.045926801875,436.235184780968,171.888742453005,743.449530568929,980.516590350171,1570.98363033211,787.468042788471
"34",27292.4484400756,27563.4759824772,24973.8016114056,28491.9043027502,29563.3686047857,21723.5994414549,26273.1709595561,29728.460193183,26816.6364338829,24856.0537523316,22445.4214764065,30777.1057698273,27921.7098920464,27783.19259517,24170.6763861131,27203.9092947251,24886.434062586,25905.02514396,23944.8412110881,25834.5191869693,25833.8037967496,26414.3313151522,27689.3672148651,24334.2039308422,28547.5950599526,392739.762706844,25,5,8.84271589853856,3.30452396197398,2.87065148650043,6586.49547700144,3655.98263413532,1200.54075595622,554.344606684728,152.640953588755,1157.09494381386,983.312220111403,1035.22363722207,700.752969154023
"35",20577.2472786698,23268.2545721971,23304.0904845035,21580.0242399992,20717.3869555636,22757.0937255092,23235.3493112618,20314.0718710948,22354.5407421856,19997.9507659118,20436.3721819735,20896.3866447379,25220.22505025,23411.2540486309,22657.5000194607,24065.7463170834,23666.34269869,21719.2511720093,22566.8208061391,20588.0886604477,23281.5668912893,21979.4291321117,21777.792013883,18892.6540010077,20737.5898539573,325962.730317474,25,5,8.1758610761792,2.75691708602512,2.47524385280151,6803.38040586536,3935.66003986582,718.849837083086,1000.04622769668,242.524004912032,909.674256487682,936.875226827178,1765.87069188193,1098.35820503935
"36",29236.0949107711,30872.5278956087,28046.415010207,31631.1635651961,28065.3152681152,29163.7435064351,27568.4298804311,27257.7868496408,28114.8912447561,26530.5710212485,29738.5491964358,30600.1791158154,29497.5442133188,27080.0427536358,27558.9576100408,28670.6750276096,24739.1400589296,28041.471872829,27201.4053415227,27805.1495757508,29874.2416231193,26231.2389684741,28400.4494302937,28957.4504269037,29480.3053736207,422887.110134318,25,5,7.07981123940792,2.52779759461272,3.97321231705655,6186.5167990681,4447.18438468277,789.076045177995,562.042486406882,219.9077539987,717.740869733915,930.886456066896,1385.37501372468,871.390615250384
"37",28900.7454774403,29208.1622800695,23464.98905499,26136.1083668471,30438.4107906356,27835.5656109327,27520.8839917655,31236.9479316474,29817.8950024063,26205.1792065351,29627.8985393329,27575.6414553407,27363.0838341809,31559.1706996411,28645.3309846226,30222.7448206147,26267.9490067728,30128.6644211932,28528.0941090019,31291.4889364005,26751.4442484415,28300.1410742983,31170.4989340402,30679.4810311672,26875.4572962594,421164.643478172,25,5,8.74495213820732,2.79530159037638,3.55816785190825,6931.13830560636,4325.01591872139,843.024732787665,625.851518201645,109.849623881957,929.332805803386,948.55217175055,1592.25492960881,846.764916798934
"38",28354.7810577142,28774.0115263009,28464.6669227383,26059.5270030319,28661.7094482908,26839.5749969772,28628.3991671965,27779.5487845097,25957.6361543391,29329.3858148401,29214.1202638009,27678.357962599,28786.4225398699,27948.866802368,25886.2773243649,25689.802812675,30629.6522100983,30404.0660952098,26866.2141830067,28054.3642675349,27040.6812143345,26531.5947510798,28449.8553094051,27887.2937092367,26296.3345130971,412914.568189586,25,5,6.41684028777093,2.86821201021695,2.75591212295329,6886.66788125719,5425.84996631122,974.08041055744,879.41911765139,116.814010797894,1008.15081168,914.565980349355,1515.0026849017,877.698148973312
"39",24253.4115807442,24564.3454148132,25873.7446176116,24290.7035718881,24037.0084912098,23999.9897247492,25511.1838921142,22459.5128734181,24294.2681867245,24852.9636686423,23057.6420508383,24837.5758799348,26811.6073622327,23798.8668430516,24571.6093910478,26615.6090350298,23583.1467738014,27311.739534851,23860.5095299276,23428.9070287633,24484.3546301776,24730.1015994219,23972.7534273943,23670.2963418613,25818.0940090152,363499.908217627,25,5,5.84918892326593,2.45984424603537,3.38934800361876,6830.21328778712,4562.62964042647,1239.1805022481,1153.45279923708,155.845207887792,802.261903084622,932.526753314109,1695.18302686578,1016.13902070354
